Kontonummer,Kontobezeichnung,Volle Kontobezeichnung
,22. Konten zur statistischen Auswertung und internen Verrechnung,22. Konten zur statistischen Auswertung und internen Verrechnung
,Aktiva,Aktiva
,A. Anlagevermögen,Aktiva:A. Anlagevermögen
,I. Ausstehende Einlagen,Aktiva:A. Anlagevermögen:I. Ausstehende Einlagen
,a) Kapitalgesellschaft,Aktiva:A. Anlagevermögen:I. Ausstehende Einlagen:a) Kapitalgesellschaft
,b) Kommanditgesellschaft,Aktiva:A. Anlagevermögen:I. Ausstehende Einlagen:b) Kommanditgesellschaft
50,"Ausstehende Einlagen auf das Komplementär-Kapital, nicht eingefordert","Aktiva:A. Anlagevermögen:I. Ausstehende Einlagen:b) Kommanditgesellschaft:Ausstehende Einlagen auf das Komplementär-Kapital, nicht eingefordert"
60,"Ausstehende Einlagen auf das Komplementär-Kapital, eingefordert","Aktiva:A. Anlagevermögen:I. Ausstehende Einlagen:b) Kommanditgesellschaft:Ausstehende Einlagen auf das Komplementär-Kapital, eingefordert"
70,"Ausstehende Einlagen auf das Kommandit-Kapital, nicht eingefordert","Aktiva:A. Anlagevermögen:I. Ausstehende Einlagen:b) Kommanditgesellschaft:Ausstehende Einlagen auf das Kommandit-Kapital, nicht eingefordert"
80,"Ausstehende Einlagen auf das Kommandit-Kapital, eingefordert","Aktiva:A. Anlagevermögen:I. Ausstehende Einlagen:b) Kommanditgesellschaft:Ausstehende Einlagen auf das Kommandit-Kapital, eingefordert"
90,Rückständige fällige Einzahlungen auf Geschäftsanteile,Aktiva:A. Anlagevermögen:I. Ausstehende Einlagen:b) Kommanditgesellschaft:Rückständige fällige Einzahlungen auf Geschäftsanteile
,III. Immaterielle Vermögensgegenstände,Aktiva:A. Anlagevermögen:III. Immaterielle Vermögensgegenstände
,"01. Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten","Aktiva:A. Anlagevermögen:III. Immaterielle Vermögensgegenstände:01. Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten"
